sent_id,sentence,agent,event,target,passive_approx,is_passive
69,The earthquake shook the entire city.,earthquake,shake,entire city,0,0
70,Researchers published their findings.,researcher,publish,their finding,0,0
71,The president signed the new law.,president,sign,new law,0,0
72,The river flooded the village.,river,flood,village,0,0
73,The child broke the vase accidentally.,child,break accidentally,vase,0,0
74,Nobody expected the sudden announcement.,nobody,expect,sudden announcement,0,0
75,Everybody enjoyed the performance.,everybody,enjoy,performance,0,0
76,The orchestra performed a symphony.,orchestra,perform,symphony,0,0
77,She told him the truth.,she,tell,truth,0,0
78,"After the meeting ended, the team celebrated.",team,celebrate,,0,0
79,"When the alarm rang, everyone evacuated.",everyone,evacuate,,0,0
80,The software was developed by a small team.,small team,develop,software,0,1
81,The vaccine was distributed globally.,vaccine,distribute globally,,1,1
82,"The painting, which was stolen last year, was recovered.",painting,recover,,1,1
83,The flowers were watered every morning.,flower,water every morning,,1,1
84,He was promoted to senior manager.,he,promote,,1,1
85,Mountains can be seen from here.,mountain,can see,,1,1
86,The winner was announced at midnight.,winner,announce,,1,1
87,English is spoken worldwide.,english,speak worldwide,,1,1
88,The data was collected over six months.,data,collect,,1,1
89,The prisoners were released after the trial.,prisoner,release,,1,1
90,The dog that bit the mailman was captured.,dog,capture,,1,1
91,She asked whether he had finished.,she,ask,,0,0
92,The committee recommended changes.,committee,recommend,change,0,0
93,Time flies.,time,fly,,0,0
94,The baby cried.,baby,cry,,0,0
95,The stars shine brightly.,star,shine brightly,,0,0
96,Water boils at one hundred degrees.,water,boil,at degree,0,0
97,The farmer grows wheat and corn.,farmer,grow,wheat,0,0
98,"Despite the rain, the match continued.",match,continue,,0,0
99,She not only sings but also dances.,she,sing,,0,0
100,I felt abused by him.,him,feel abuse,i,0,1
101,I felt abused.,i,feel abuse,,1,1
102,I felt betrayed by my best friend.,my good friend,feel betray,i,0,1
103,I felt betrayed.,i,feel betray,,1,1
104,I felt manipulated.,i,feel manipulate,,1,1
105,I felt threatened.,i,feel threaten,,1,1
106,She seemed targeted by everyone.,everyone,seem target,she,0,1
107,He appeared beaten by the crowd.,crowd,appear beat,he,0,1
108,I was held down and raped.,i,hold,,1,1
109,She was beaten and robbed.,she,beat,,1,1
110,I went out and got raped.,i,go rape,,1,1
111,I got raped by my uncle.,my uncle,get rape,i,0,1
112,I got raped.,i,get rape,,1,1
113,He got arrested by the police.,police,get arrest,he,0,1
114,He got arrested.,he,get arrest,,1,1
115,She got fired by her boss.,her boss,get fire,she,0,1
116,She got fired.,she,get fire,,1,1
117,The report was written and reviewed by the committee.,committee,write review,report,0,1
118,She got lucky.,she,get,lucky,0,0
119,He felt happy.,he,feel,happy,0,0
120,I became a victim.,i,become,victim,0,0
121,The doctor helped the patient.,doctor,help,patient,0,0
